kåv,knø,nei,åen,øne,vie
mos,mas,aha,oho,sov,sav
åen,åme,moa,eon,eng,nag
hus,hem,est,usj,mjå,stå
rir,ram,ala,ile,mel,ral
høg,han,ase,øsa,nam,gem
tit,tys,yla,ilm,sms,tas
jur,jet,ele,ulu,tun,ren
rær,æra,vri,rie,jae
bis,bås,åbu,ibo,sop,sup
ytr,yla,loe,ton,ank,rek
dæs,dyr,yre,ære,rek,sek
høv,hær,æve,øve,red,ved
put,pub,uti,uto,bor,tir
lyn,lem,ele,yla,mad,ned
ess,efa,fut,sug,aga,sta
fet,fog,osa,ese,gel,tal
æse,æva,vik,sid,adl,ekl
man,måk,åka,aka,kan,nan
ava,ane,nøk,vøl,ela,aka
jål,jak,age,ågr,kra,lea
jål,jås,åre,åra,sar,ler
ola,ova,vir,lip,apt,art
øre,øra,rul,rut,att,elt
tår,typ,yta,åte,per,rar
rås,reg,eta,åte,ger,sar
esl,efa,fea,sek,akk,lak
dåa,dyp,yes,åes,pst,ast
båk,bak,arr,åre,kei,kri
båk,bum,uto,åta,mat,kot
bob,bey,eta,otr,yrt,bat
jae,jaa,aus,aud,adl,esl
rik,ryt,yla,ile,tee,kae
